hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
46,0,724,-64.97720639417821,112.45306728334981,131.29095458984375,-65.47569,112.16776,131.29095,6.994853496551514,-2.096137046813965,335618051,0.5743581801409327,308.0,-56.1879442157,116.675468393,135.45,"[308, 340]",421.0,230.0,433.1039556139922,250.42951286087145
47,0,622,-99.69250596199345,82.52616255729663,131.5743865966797,-100.220894,81.978325,131.57439,6.955211639404297,-2.4515202045440674,335634435,0.7611306590688062,372.0,-101.24717697999999,80.7419293407,135.45,[372],651.0,643.0,673.3693286638652,664.1868407202617
48,0,400,108.6820994999689,66.9747214561794,125.39606475830078,108.672104,66.97259,125.396065,7.198807239532471,-0.5536082983016968,335560707,0.010220850559180318,84.0,114.423046224,55.1032348679,135.45,"[84, 116]",1076.0,371.0,1076.8594635311756,372.3621310387557
49,0,612,115.29705028020544,-53.26955116807221,124.60033416748045,115.27699,-53.25739,124.600334,7.207710266113281,0.4314831495285034,335757315,0.023456753011927366,852.0,114.423046224,-55.1032348679,135.45,[852],675.0,636.0,675.3473479931114,636.9601622482173
50,0,472,48.72776628402062,120.12841492347798,128.6356964111328,49.673923,119.7775,128.6357,7.126000881195068,-1.186809778213501,335585283,1.0091369167455757,180.0,56.1879442157,116.675468393,135.45,[180],726.0,341.0,740.1178612191188,303.5928827328246
51,0,875,-109.73008399971877,64.86021080711362,129.83566284179688,-109.41343,65.433205,129.83566,6.942004680633545,-2.609128475189209,335642627,0.6546695112944261,404.0,-114.423046224,55.1032348679,135.45,[404],1015.0,802.0,992.2790375685446,789.7184889712491
52,0,603,126.90184151535595,13.405654304486234,124.95834350585938,126.9685,12.500755,124.95834,7.221004486083984,-0.10657302290201187,335544323,0.9073507082273579,20.0,127.0,0.0,135.45,[20],1102.0,600.0,1138.2261721794493,598.0736606142381
53,0,374,38.033380175817,-121.60721768583426,126.63550567626953,38.084915,-121.5411,126.635506,7.114654541015625,1.266335129737854,335724547,0.08382996371960962,724.0,28.2601586125,-123.815844847,135.45,[724],692.0,994.0,690.3450864466299,992.92886253268
54,0,518,-20.212636577663943,125.5754506106432,127.65332794189453,-20.65224,125.51999,127.65333,7.045502185821533,-1.7317415475845337,335609859,0.44308895254151354,276.0,-28.2601586125,123.815844847,135.45,[276],670.0,906.0,672.3842305457282,923.9008813934424
55,0,235,-0.96300772059476,129.44252282833588,129.49948120117188,-0.20861302,129.4685,129.49948,7.068155288696289,-1.5796093940734863,335601667,0.7548420214964281,244.0,7.92958802448e-15,129.5,135.45,[244],600.0,593.0,599.7009131334352,563.4796911762093
56,0,933,30.59027313252591,-123.22443167909114,126.34145355224611,31.225712,-123.10667,126.34145,7.105949401855469,1.3261268138885498,335724547,0.6462591978758218,724.0,28.2601586125,-123.815844847,135.45,[724],630.0,720.0,625.6565267163546,695.2045808010363
57,0,490,-45.2053363559462,-121.89635493079368,130.99537658691406,-45.06574,-121.99668,130.99538,7.017805576324463,1.924534797668457,335699971,0.17190949558224206,628.0,-56.1879442157,-116.675468393,135.45,[628],389.0,1046.0,393.1645384882529,1041.3043143901518
58,0,142,54.63854785706644,-117.31889001060699,128.28720092773438,54.586754,-117.4116,128.2872,7.133413791656494,1.1335805654525757,335732739,0.10619524036564061,756.0,56.1879442157,-116.675468393,135.45,[756],572.0,537.0,576.2631352957203,540.0241456546576
59,0,49,115.60028982632502,52.51898855580657,124.55994415283203,115.37646,53.050854,124.559944,7.207949638366699,-0.42775794863700867,335560707,0.5770455795697973,84.0,114.423046224,55.1032348679,135.45,[84],519.0,640.0,498.6301475162628,649.0897440930007
59,1,515,116.49874060443472,54.245164248743095,126.0789031982422,115.06019,53.707596,126.0789,7.207345008850098,-0.4371117949485779,335560707,1.5357123954096623,84.0,114.423046224,55.1032348679,135.45,[84],546.0,627.0,567.6771752337237,685.0277752173884
60,0,616,49.96237486667815,-119.54858114917442,128.53659057617188,49.878155,-119.67914,128.53659,7.127859592437744,1.173569917678833,335732739,0.15536462437862314,756.0,56.1879442157,-116.675468393,135.45,[756],481.0,349.0,487.075489753023,352.97722603912575
61,0,696,-106.23883332777768,-74.29621523247624,131.9315948486328,-105.957756,-74.78453,131.9316,6.948266506195068,2.5299158096313477,335683587,0.5634326731667221,564.0,-101.24717697999999,-80.7419293407,135.45,[564],840.0,413.0,859.82856432895,402.3337460888922
62,0,906,62.27075753738609,-113.57666874367351,128.23512268066406,61.752808,-113.96061,128.23512,7.142319679260254,1.0679216384887695,335732739,0.6447344996856197,756.0,56.1879442157,-116.675468393,135.45,[756],710.0,824.0,725.9519859730597,845.3125328674435
63,0,634,-84.96316430642764,-94.7923634158251,129.1315155029297,-85.43049,-94.27026,129.13152,6.970572471618652,2.3001983165740967,335691779,0.7006997397662791,596.0,-79.1832048361,-99.29259827339999,135.45,[596],802.0,352.0,782.0093943029957,370.8016211868943
64,0,421,3.765817175859411,129.43138069625502,129.439208984375,3.330477,129.4685,129.43921,7.073634624481201,-1.543082356452942,335601667,0.4369202983135571,244.0,7.92958802448e-15,129.5,135.45,[244],600.0,735.0,599.2552278502006,752.6326870343761
65,0,754,108.87128888597726,-66.64263538098749,125.37576293945312,108.878105,-66.54482,125.37576,7.199263095855713,0.547956109046936,335757315,0.09804990360440567,852.0,114.423046224,-55.1032348679,135.45,"[820, 852]",144.0,380.0,140.42397947650045,379.9297064790903
66,0,619,8.292473608482396,129.46294053108886,129.58534240722656,8.057221,129.4685,129.58534,7.078867435455322,-1.5082052946090698,335601667,0.23531801571237007,244.0,7.92958802448e-15,129.5,135.45,[244],600.0,924.0,600.5176212435543,933.6989443392955
67,0,426,126.96792301033656,3.2558175229860353,124.35831451416017,126.9685,3.3024564,124.358315,7.221826553344727,-0.026956235989928246,335544323,0.04664240304735476,20.0,127.0,0.0,135.45,[20],734.0,600.0,732.2327009194414,600.7169204134624
68,0,921,-126.97466603348698,4.224030863522785,129.78245544433594,-126.9685,4.2646627,129.78246,6.92191743850708,-3.1097147464752197,335659011,0.04109734052999941,468.0,-127.0,1.55530143492e-14,135.45,[468],772.0,603.0,770.9612345409107,603.0133586605211
69,0,719,85.41178770706028,-94.26009290259753,125.42115783691408,85.173035,-94.47558,125.42116,7.171424865722656,0.8332751393318176,335740931,0.32161618998794594,788.0,79.1832048361,-99.29259827339999,135.45,[788],794.0,841.0,803.300214832098,851.1433148384111
70,0,587,83.92152881446236,-95.04625548023614,125.04488372802734,84.2576,-95.20561,125.04488,7.169956207275391,0.8461524844169617,335740931,0.37193769034114604,788.0,79.1832048361,-99.29259827339999,135.45,[788],765.0,804.0,771.8537117265538,791.5329591344943
70,1,798,107.77638748224126,-87.76318024837383,136.74063110351562,100.24226,-81.95152,136.74063,7.187371253967285,0.6819543242454529,335749123,9.51516588043668,820.0,101.24717697999999,-80.7419293407,135.45,[820],553.0,561.0,321.14996369304663,863.1684200896507
